filename,category,description,permalink
NF_NF.01065-427.jpg,Norsk Folkemuseum,"Fra Universitetsplassen, Karl Johans gate, Oslo,",http://oslobilder.no/NF/NF.01065-427
OMU_OB.05019.1-5.jpg,Oslo Museum,Kart over Nordmarken og Sørkedalen for skiløbere og turister,http://oslobilder.no/OMU/OB.05019.1-5
NF_NF.01065-390.jpg,Norsk Folkemuseum,"Fra Båntjern i Frognerseterskogen, Oslo.",http://oslobilder.no/NF/NF.01065-390
OMU_OB.F14680aq.jpg,Oslo Museum,Uranienborgveien 2.,http://oslobilder.no/OMU/OB.F14680aq
NTM_NTM%20UWP%2010019.jpg,Norsk Teknisk Museum,"Bygdø søbad, restaurationen",http://oslobilder.no/NTM/NTM%20UWP%2010019
NF_NF.01065-366.jpg,Norsk Folkemuseum,Frk.Helga Bull  til høyre og hennes søster spaserer i park.,http://oslobilder.no/NF/NF.01065-366
NTM_NTM%20WP%2000493.jpg,Norsk Teknisk Museum,"Conference interparlamentaire de Kristiania, 1899",http://oslobilder.no/NTM/NTM%20WP%2000493
NTM_NTM%20UWP%2009612.jpg,Norsk Teknisk Museum,"Nationalgaleriet, trappehallen, Kristiania",http://oslobilder.no/NTM/NTM%20UWP%2009612
NF_NF.07959-001.jpg,Norsk Folkemuseum,"Smedbråten, Bygdøy, Oslo ant. ca. 1860.  Hagen og huset. Revet ca. 1930, ""Andresenrommet"" nå på NF. lå bak det store vinduet.",http://oslobilder.no/NF/NF.07959-001
OMU_OB.Y1240.jpg,Oslo Museum,Utsikt fra Victoria terrasse,http://oslobilder.no/OMU/OB.Y1240
NF_NF.11470-001.jpg,Norsk Folkemuseum,"Eidsvolls plass, Oslo 1872. Harald Hårfagre-monumentet. Laget av Brynjulf Bergslien 1872.",http://oslobilder.no/NF/NF.11470-001
NTM_NTM%20UWP%2008854.jpg,Norsk Teknisk Museum,Abeljubilæet i Universitetet. indtog Engelsk taler.(?) 1902,http://oslobilder.no/NTM/NTM%20UWP%2008854
NTM_NTM%20UWP%2008810.jpg,Norsk Teknisk Museum,"Viktoria hotel, gaardsrum",http://oslobilder.no/NTM/NTM%20UWP%2008810
OMU_OB.02722.jpg,Oslo Museum,"Gamle Huse i Christiania III, Fra Enerhaugen",http://oslobilder.no/OMU/OB.02722
NTM_NTM%20UWP%2010101.jpg,Norsk Teknisk Museum,Fra Keiser Wilhelms besøg i Kristiania,http://oslobilder.no/NTM/NTM%20UWP%2010101
OMU_OB.02784.jpg,Oslo Museum,Fra Tunis og Algier,http://oslobilder.no/OMU/OB.02784
NTM_NTM%20UWP%2007376.jpg,Norsk Teknisk Museum,Christiania: Slottet sett fra Vika,http://oslobilder.no/NTM/NTM%20UWP%2007376
OMU_OB.00394.jpg,Oslo Museum,Fra Munkedamsveien,http://oslobilder.no/OMU/OB.00394
NF_NF.11747-001.jpg,Norsk Folkemuseum,"Johannesgata 1, Enerhaugen, Oslo 1921-22. Lite trehus med barn på gårdsplassen.",http://oslobilder.no/NF/NF.11747-001
OMU_OB.Y7579.jpg,Oslo Museum,Drammensveiens gjennombrudd ved Abelhaugen.,http://oslobilder.no/OMU/OB.Y7579
NF_NF.15249-019.jpg,Norsk Folkemuseum,"Stereoskopi. Dampbåt, antatt ferge, ved Ormøya med broen over til Bekkelaget, Oslo, 8.september 1907.",http://oslobilder.no/NF/NF.15249-019
OMU_OB.Z06222.jpg,Oslo Museum,Holtegata ved Uranienborg kirke.,http://oslobilder.no/OMU/OB.Z06222
OMU_OB.02075.jpg,Oslo Museum,Den gamle Universitetsbibliotheks=bygning i Christiania. Efter originaltegning af v. Hanno,http://oslobilder.no/OMU/OB.02075
OMU_OB.02761.jpg,Oslo Museum,Hammersborg torg,http://oslobilder.no/OMU/OB.02761
OMU_OB.00779.jpg,Oslo Museum,Holbergs plass 2.11.1887,http://oslobilder.no/OMU/OB.00779
NF_NF.15249-026.jpg,Norsk Folkemuseum,"Stereoskopi. Mann i forkle med palett og pensel i atelier i 2.etasje, Briskebyveien 30, Oslo, september 1907.",http://oslobilder.no/NF/NF.15249-026
OMU_OB.02950.jpg,Oslo Museum,Det nye Kristiania; Raadhuset og Bazaren ved Youngstorvet.,http://oslobilder.no/OMU/OB.02950
NTM_NTM%20UWP%2010935.jpg,Norsk Teknisk Museum,"Holmenkollbanen i Oslo vinterstid, kø av mennesker ved Holmenkollen stasjon. I bakgrunnen Holmenkollen Skydsstation.",http://oslobilder.no/NTM/NTM%20UWP%2010935
OMU_OB.02915.jpg,Oslo Museum,Parti fra Uranienborgskoven,http://oslobilder.no/OMU/OB.02915
OMU_OB.01304.jpg,Oslo Museum,Utsikt fra Victoria Terrasse 3,http://oslobilder.no/OMU/OB.01304
OMU_OB.02708.jpg,Oslo Museum,Fra det gamle Kristiania. Tomtengadens Udmunning i Jernbanetorvet.,http://oslobilder.no/OMU/OB.02708
OMU_OB.02695.jpg,Oslo Museum,Gamle Huse i Piperviken,http://oslobilder.no/OMU/OB.02695
NTM_NTM%20UWP%2010937.jpg,Norsk Teknisk Museum,"Utsikt over Pipervika, i bakgrunnen Slottet og Victoria Terrasse, 1904",http://oslobilder.no/NTM/NTM%20UWP%2010937
NTM_NTM%20UWP%2010941.jpg,Norsk Teknisk Museum,Håndkolorert bilde av Husflidens butikk i Karl Johans gate 45,http://oslobilder.no/NTM/NTM%20UWP%2010941
NTM_NTM%20MMF%200004.jpg,Norsk Teknisk Museum,"Rikshospitalet, Pilestredet. Medisinsk avdeling B . Terassen fra syd. (Per E Børdahl 29.1.2016)",http://oslobilder.no/NTM/NTM%20MMF%200004
OMU_OB.F02352.jpg,Oslo Museum,"St. Halvards gate 33, revet 15.05.1905.",http://oslobilder.no/OMU/OB.F02352
OMU_OB.05834.jpg,Oslo Museum,"Fagerliveien, Diesen",http://oslobilder.no/OMU/OB.05834
OMU_OB.00405.jpg,Oslo Museum,"Portrett av: Birkeland, Olaf Kristian Bernhard",http://oslobilder.no/OMU/OB.00405
OMU_OB.01858.jpg,Oslo Museum,Magdalenastiftelsen / 1910,http://oslobilder.no/OMU/OB.01858
OMU_OB.05827.jpg,Oslo Museum,"Fra Fagerliveien, Diesen",http://oslobilder.no/OMU/OB.05827
OMU_JWC.120.jpg,Oslo Museum,Hammersborg Torv,http://oslobilder.no/OMU/JWC.120
OMU_OB.06561.jpg,Oslo Museum,Oscar II,http://oslobilder.no/OMU/OB.06561
OMU_OB.05824.jpg,Oslo Museum,Fra Grefsen,http://oslobilder.no/OMU/OB.05824
OMU_JWC.053.jpg,Oslo Museum,Damstrædet,http://oslobilder.no/OMU/JWC.053
OMU_OB.05826.jpg,Oslo Museum,Mairegn. Diesen,http://oslobilder.no/OMU/OB.05826
OMU_OB.05829.jpg,Oslo Museum,Maridalsveien,http://oslobilder.no/OMU/OB.05829
OMU_OB.02694.jpg,Oslo Museum,"Skolegata, Vika",http://oslobilder.no/OMU/OB.02694
OMU_OB.OT235.jpg,Oslo Museum,"gårdsinteriør, snø, menn2",http://oslobilder.no/OMU/OB.OT235
OMU_OB.05835.jpg,Oslo Museum,Fra Disen,http://oslobilder.no/OMU/OB.05835
NTM_NTM%20TELE%201994%203%20094.jpg,Norsk Teknisk Museum,Batterilaget ved Christiania Telefonselskab,http://oslobilder.no/NTM/NTM%20TELE%201994%203%20094
OMU_OB.Z00575.jpg,Oslo Museum,"kong Edward og dronning Alexandras besøk, kortesje, publikum, park, Universitetet",http://oslobilder.no/OMU/OB.Z00575
OMU_TM.T03228.jpg,Oslo Museum,Einar Rød.,http://oslobilder.no/OMU/TM.T03228
OMU_TM.T03093.jpg,Oslo Museum,Egil Eide.,http://oslobilder.no/OMU/TM.T03093
OMU_TM.T03092.jpg,Oslo Museum,Egil Eide.,http://oslobilder.no/OMU/TM.T03092
OMU_OB.05833.jpg,Oslo Museum,Udsigt til / Ø. Aker,http://oslobilder.no/OMU/OB.05833
OMU_TM.T03098a.jpg,Oslo Museum,Sigurd Eldegard.,http://oslobilder.no/OMU/TM.T03098a
OMU_TM.T03098b.jpg,Oslo Museum,Sigurd Eldegard.,http://oslobilder.no/OMU/TM.T03098b
OMU_OB.05831.jpg,Oslo Museum,Utsikt fra General Birchsgate 32 mot nordøst,http://oslobilder.no/OMU/OB.05831
OMU_OB.05832.jpg,Oslo Museum,Utsikt fra General Birchsgtate 32 mot nord-nordøst,http://oslobilder.no/OMU/OB.05832
OMU_TM.T03096.jpg,Oslo Museum,Egil Eide.,http://oslobilder.no/OMU/TM.T03096
OMU_OB.F21534b.jpg,Oslo Museum,"portrett, mann, arkitekt, brystbilde",http://oslobilder.no/OMU/OB.F21534b
NF_NF.06836-001.jpg,Norsk Folkemuseum,"Stueinteriør med en kvinne, en mann og tre barn. Bord og seng, gardiner, samt juletre og gyngehest. Oslo, 1914.",http://oslobilder.no/NF/NF.06836-001
OMU_OB.F15356a.jpg,Oslo Museum,Christian Semb Grimsgaard.,http://oslobilder.no/OMU/OB.F15356a
OMU_OB.F07376.jpg,Oslo Museum,Studentene fra 1856 ved 25 årsjubileet i 1881.,http://oslobilder.no/OMU/OB.F07376
OMU_OB.FS0716.jpg,Oslo Museum,Studentjubileet 1886.,http://oslobilder.no/OMU/OB.FS0716
NF_NF.21429-250.jpg,Norsk Folkemuseum,"Fortex A/S. Christiania Seildugsfabrik, Oslo. Lager med tekstilruller.",http://oslobilder.no/NF/NF.21429-250
OMU_OB.FS0873.jpg,Oslo Museum,"""Det grønne værelse"" - middags-kaffe-klub.",http://oslobilder.no/OMU/OB.FS0873
NF_NF.21437-010.jpg,Norsk Folkemuseum,Skøitekunstløb paa Frognerkilen ved Kristiania  Nadja Frank og Alfred Næss.,http://oslobilder.no/NF/NF.21437-010
OMU_OB.L0040.jpg,Oslo Museum,Utsikt fra St. Hanshaugen.,http://oslobilder.no/OMU/OB.L0040
OMU_OB.FS0514.jpg,Oslo Museum,1859-studentenes 25-årsjubileum.,http://oslobilder.no/OMU/OB.FS0514
OMU_OB.L0042.jpg,Oslo Museum,Utsikt fra St. Hanshaugen.,http://oslobilder.no/OMU/OB.L0042
OMU_OB.F07292.jpg,Oslo Museum,Oslo kommunes skattetakstkommisjon på Holmenkollen Turisthotell,http://oslobilder.no/OMU/OB.F07292
OMU_OB.Y1946.jpg,Oslo Museum,Utsikt fra St. Hanshaugen.,http://oslobilder.no/OMU/OB.Y1946
OMU_OB.F07299.jpg,Oslo Museum,Ombord på det britiske marinefartøy Agincourt.,http://oslobilder.no/OMU/OB.F07299
OMU_OB.Y1495.jpg,Oslo Museum,Vinter på Olaf Ryes plass.,http://oslobilder.no/OMU/OB.Y1495
OMU_OB.F01661.jpg,Oslo Museum,Homansbyen.,http://oslobilder.no/OMU/OB.F01661
OMU_OB.Y2564.jpg,Oslo Museum,Thv. Meyers gt.,http://oslobilder.no/OMU/OB.Y2564
OMU_OMu.F26942.jpg,Oslo Museum,Tullinløkka med Kristian Augusts gate.,http://oslobilder.no/OMU/OMu.F26942
OMU_OB.F01575.jpg,Oslo Museum,Utsikt fra Uranienborg kirke.,http://oslobilder.no/OMU/OB.F01575
OMU_OB.F03060c.jpg,Oslo Museum,Utsikt over Homansbyen.,http://oslobilder.no/OMU/OB.F03060c
OMU_OB.Y1400.jpg,Oslo Museum,Briskebyveien,http://oslobilder.no/OMU/OB.Y1400
OMU_OB.FS0758.jpg,Oslo Museum,Guldbergs Akademiske Kor.,http://oslobilder.no/OMU/OB.FS0758
OMU_OB.OT357.jpg,Oslo Museum,Kirkegata.,http://oslobilder.no/OMU/OB.OT357
OMU_OB.A3309.jpg,Oslo Museum,Kongens gate.,http://oslobilder.no/OMU/OB.A3309
OMU_OB.Z05612.jpg,Oslo Museum,Utsikt fra Åkebergveien 23.,http://oslobilder.no/OMU/OB.Z05612
NF_NF.05571-001.jpg,Norsk Folkemuseum,"Bogstad, Oslo. 1920. Turnipsopptaking. Mann og gutt i arbeidsklær med håndredskaper i åkeren med hest og åpen vogn med grinder foran og bak. Fot. H.C. Neupert.",http://oslobilder.no/NF/NF.05571-001
OMU_OB.FS0940.jpg,Oslo Museum,"Ettårig kurs for kvinner, Oslo Handelsgymnasium.",http://oslobilder.no/OMU/OB.FS0940
OMU_OB.F02935a.jpg,Oslo Museum,Utsigt fra St. Hans Haugen.,http://oslobilder.no/OMU/OB.F02935a
OMU_OB.F02967d.jpg,Oslo Museum,Ullevoldsveien. Christiania.,http://oslobilder.no/OMU/OB.F02967d
OMU_OB.Y2643.jpg,Oslo Museum,Utsigt fra St. Hanshaugen,http://oslobilder.no/OMU/OB.Y2643
OMU_OB.F20543c.jpg,Oslo Museum,Maridalsveien fra Bjerregaards gate.,http://oslobilder.no/OMU/OB.F20543c
NF_NF.05571-006.jpg,Norsk Folkemuseum,"Landskap, Bogstad, Oslo. Oversiktsbilde med Bogstad gård i bakgrunnen. Bogstadvannet i mellomgrunnen, i forgrunnen jorder med rader av høystakker.
Fot. H.C. Neupert (nr.605) ant. 1920.",http://oslobilder.no/NF/NF.05571-006
OMU_OB.F11535a.jpg,Oslo Museum,"Stortorvet, Kristiania.",http://oslobilder.no/OMU/OB.F11535a
OMU_OB.FS1040a.jpg,Oslo Museum,Klosterengen - fra Harald Haardraades Plads,http://oslobilder.no/OMU/OB.FS1040a
NF_NF.05571-008.jpg,Norsk Folkemuseum,"Landskap, Bogstad, Oslo. Oversiktsbilde med Bogstad gård i bakgrunnen. Oversiktsbilde. Bogstadvannet i mellomgrunnen, i forgrunnen jorder med rader av høystakker.
Fot. H.C. Neupert (nr.604) ant. 1920.",http://oslobilder.no/NF/NF.05571-008
OMU_OB.Y1307.jpg,Oslo Museum,Colbjørnsens gate.,http://oslobilder.no/OMU/OB.Y1307
OMU_OB.NW7763.jpg,Oslo Museum,Utsikt fra Gassverket mot Grünerløkka.,http://oslobilder.no/OMU/OB.NW7763
OMU_OB.F01579.jpg,Oslo Museum,Christiania fra Trefoldigheds Kirke. Slottet.,http://oslobilder.no/OMU/OB.F01579
OMU_OB.F03044B.jpg,Oslo Museum,"Christiania, seet fra Homansbyen",http://oslobilder.no/OMU/OB.F03044B
OMU_OB.Z17066.jpg,Oslo Museum,Tullinløkka.,http://oslobilder.no/OMU/OB.Z17066
OMU_OB.NW4646.jpg,Oslo Museum,"universitetet, hage, bygårder, Trefoldighetskirken",http://oslobilder.no/OMU/OB.NW4646
OMU_OB.Y4301.jpg,Oslo Museum,Foss og Ringnes bryggerier,http://oslobilder.no/OMU/OB.Y4301
OMU_OB.F11459b.jpg,Oslo Museum,Kristiania. Eckersberg-gaten,http://oslobilder.no/OMU/OB.F11459b
OMU_OB.FS0769.jpg,Oslo Museum,Norske Studenter fra 1878.,http://oslobilder.no/OMU/OB.FS0769
OMU_OB.Y4299.jpg,Oslo Museum,Foss og Ringnes bryggerier.,http://oslobilder.no/OMU/OB.Y4299
OMU_OB.F11446d.jpg,Oslo Museum,Kristiania - Sofies Plads.,http://oslobilder.no/OMU/OB.F11446d
OMU_OB.Z07617.jpg,Oslo Museum,Vålerenggata ved Ingeborgs gate.,http://oslobilder.no/OMU/OB.Z07617
NF_NF.05271-141.jpg,Norsk Folkemuseum,"Ved Bygdøy Sjøbad, Oslo 1908. Oversiktsbilde.Tre kvinner på fjorden i pram, en kvinne står på stranda.",http://oslobilder.no/NF/NF.05271-141
OMU_OB.Y1348.jpg,Oslo Museum,"gateløp, villabebyggelse, gjerder, hestekjøretøy, bygårder",http://oslobilder.no/OMU/OB.Y1348
OMU_OB.F11629b.jpg,Oslo Museum,Valkyriegaden. Kristiania.,http://oslobilder.no/OMU/OB.F11629b
NF_NF.05571-012.jpg,Norsk Folkemuseum,"Landskap, Bogstad, Oslo. Oversiktsbilde med Bogstad gård ved Bogstadvannet i bakgrunnen. Oversiktsbilde. Skog.
Fotografert av H.C. Neupert (nr.595) ant. 1920.",http://oslobilder.no/NF/NF.05571-012
OMU_OB.F16139.jpg,Oslo Museum,Klasse fra Frøken Sylows pikeskole.,http://oslobilder.no/OMU/OB.F16139
OMU_OB.F11535b.jpg,Oslo Museum,Kristiania - Stortorvet.,http://oslobilder.no/OMU/OB.F11535b
NF_NF.14562-010.jpg,Norsk Folkemuseum,"Karl Johans gate, Oslo, 1908. Folkeliv og bil av typen Buick, antakelig. Utklipp fra trykksak. Se billedtekst under Andre opplysninger.",http://oslobilder.no/NF/NF.14562-010
OMU_OB.Z06413.jpg,Oslo Museum,Bislet teglverk og Josefines gate fra Pilestredet.,http://oslobilder.no/OMU/OB.Z06413
OMU_OB.F03194.jpg,Oslo Museum,Tøyengata fra Grønlandsleiret.,http://oslobilder.no/OMU/OB.F03194
OMU_OB.F07295.jpg,Oslo Museum,Studentene fra 1856 ved 50-årsjubileet.,http://oslobilder.no/OMU/OB.F07295
NF_NF.05271-085.jpg,Norsk Folkemuseum,"Bygdøy, Oslo 1908.  Dronningen restaurant. Mennesker på brua til Dronningen.  Kvinner i lange kjoler og med hatter.",http://oslobilder.no/NF/NF.05271-085
NF_NF.05271-142.jpg,Norsk Folkemuseum,"Ved Bygdøy Sjøbad, Oslo 1908. Mennesker spaserer på veien langs stranda.",http://oslobilder.no/NF/NF.05271-142
OMU_OB.F01889b.jpg,Oslo Museum,Oscars gate 19.,http://oslobilder.no/OMU/OB.F01889b
OMU_OB.Y1354.jpg,Oslo Museum,Balders gade og Frognerveien.,http://oslobilder.no/OMU/OB.Y1354
NF_NF.14562-005.jpg,Norsk Folkemuseum,"Karl Johans gate, Oslo, 1908. Folkeliv. Utklipp fra trykksak.",http://oslobilder.no/NF/NF.14562-005
OMU_OB.F12300c.jpg,Oslo Museum,Kristiania. Utsigt fra St. Hanshaugen.,http://oslobilder.no/OMU/OB.F12300c
OMU_OB.F03183.jpg,Oslo Museum,Stortorvet i Christiania.,http://oslobilder.no/OMU/OB.F03183
OMU_OMu.F26943.jpg,Oslo Museum,Oscars gate 19.,http://oslobilder.no/OMU/OMu.F26943
OMU_OB.F10683c.jpg,Oslo Museum,Christianias Stortorv.,http://oslobilder.no/OMU/OB.F10683c
OMU_OB.FS0026.jpg,Oslo Museum,"utsikt nordvest, park, forretningsgårder, Victoria terrasse, Nationaltheatret, Slottet, Grand Hotel, kiosker, biler, trikker, gateliv",http://oslobilder.no/OMU/OB.FS0026
OMU_OB.Z17232.jpg,Oslo Museum,Tullinløkka.,http://oslobilder.no/OMU/OB.Z17232
OMU_OB.Y1383.jpg,Oslo Museum,Vogts gade,http://oslobilder.no/OMU/OB.Y1383
OMU_OB.NW1236.jpg,Oslo Museum,17. mai på Karl Johan.,http://oslobilder.no/OMU/OB.NW1236
OMU_OB.Z05610.jpg,Oslo Museum,Utsikt fra Åkebergveien 23.,http://oslobilder.no/OMU/OB.Z05610
NF_NF.34112-178.jpg,Norsk Folkemuseum,"Beboere i Stupinngata 10/Johannes gate 4 på gårdsplassen, 1923",http://oslobilder.no/NF/NF.34112-178
OMU_OB.Z03872.jpg,Oslo Museum,Schultz gate fra Bogstadveien.,http://oslobilder.no/OMU/OB.Z03872
OMU_OB.F11539a.jpg,Oslo Museum,Kristiania. Stortorvet.,http://oslobilder.no/OMU/OB.F11539a
OMU_OB.Y1151.jpg,Oslo Museum,Storthingsgaden.,http://oslobilder.no/OMU/OB.Y1151
OMU_OB.Y1387.jpg,Oslo Museum,Havegaden.,http://oslobilder.no/OMU/OB.Y1387
OMU_OB.NW7760.jpg,Oslo Museum,Valkyrie plass.,http://oslobilder.no/OMU/OB.NW7760
OMU_OB.F10683e.jpg,Oslo Museum,Carl Johans Gade og Slottet.,http://oslobilder.no/OMU/OB.F10683e
NF_NF.05271-084.jpg,Norsk Folkemuseum,"Frognerkilen, Bygdøy, Oslo 1908-1910. Oversiktsbilde. Utsikt mot Dronningen. Seilbåter ved bøyer på vannet.",http://oslobilder.no/NF/NF.05271-084
OMU_OB.Y1356.jpg,Oslo Museum,Eckersbergsgade,http://oslobilder.no/OMU/OB.Y1356
NF_NF.05571-005.jpg,Norsk Folkemuseum,"Dette bildet er tatt nordover fra Peder Ankers plass, og huset vi ser i bakgrunnen er mest sansynelig plassen Svarverud under Voksen gård. Til høyre for alleen ser vi Laejordet og til venstre ser vi Himstadjordet.Begge tilhørte Østre Voksen.
Landskap, parti av allé med steingjerder og trær med bebyggelse synlig bak. Oppsatt som Voksen gård. Fotografert i 1920 antakelig.",http://oslobilder.no/NF/NF.05571-005
NF_NF.05271-091.jpg,Norsk Folkemuseum,"Oslo, Bygdøy 1908. Dronnningen restaurant. Mennesker som står i kø til ferja Framnæs 2 på brygga ved Dronningen. Kvinner i lange kjoler og med hatter. Robåter på vannet.",http://oslobilder.no/NF/NF.05271-091
OMU_OB.Y2137.jpg,Oslo Museum,Breigata fra Motzfeldts gate mot Tøyenbekken.,http://oslobilder.no/OMU/OB.Y2137
NF_NF.05271-090.jpg,Norsk Folkemuseum,"Oslo, Dronningen 1909. Bygningen, båter, ferge og mennesker på brua. Sett fra vannet.",http://oslobilder.no/NF/NF.05271-090
OMU_OB.X0298.jpg,Oslo Museum,Skøyteløpere på Tullinløkka.,http://oslobilder.no/OMU/OB.X0298
OMU_OB.F00952b.jpg,Oslo Museum,Rådhusgata mot Johanneskirken.,http://oslobilder.no/OMU/OB.F00952b
OMU_OB.F01143.jpg,Oslo Museum,Stortorvet.,http://oslobilder.no/OMU/OB.F01143
OMU_OB.Y1390.jpg,Oslo Museum,Fra Frognerkilen,http://oslobilder.no/OMU/OB.Y1390
NF_NF.05271-139.jpg,Norsk Folkemuseum,"Ulvøya, Oslo 1908. Oversiktsbilde. Fjorden i forgrunnen. Gruppe med mennesker sitter på stranda. Bildet tatt mot fastlandet. Bebyggelse i bakgrunnen.",http://oslobilder.no/NF/NF.05271-139
OMU_OB.Q020.jpg,Oslo Museum,Karl Johans gate sett fra Stortingsbygningen.,http://oslobilder.no/OMU/OB.Q020
NF_NF.34112-179.jpg,Norsk Folkemuseum,"Beboere i Stupinngata 10/Johannes gate 4 på gårdsplassen, 1923.",http://oslobilder.no/NF/NF.34112-179
OMU_OB.F11475a.jpg,Oslo Museum,"plass, gateløp, bygårder, forhager, mennesker",http://oslobilder.no/OMU/OB.F11475a
OMU_OB.Y1311.jpg,Oslo Museum,Riddervolds gade.,http://oslobilder.no/OMU/OB.Y1311
NF_NF.06300-004.jpg,Norsk Folkemuseum,"Bygdøy, Oslo 1911. Kvinner spaserer mot restaurant Dronningen. Fotside antrekk. Alle med hatter.",http://oslobilder.no/NF/NF.06300-004
NF_NF.05271-143.jpg,Norsk Folkemuseum,"Bygdøy, Oslo 1908-1910. Oversiktsbilde. Ved Dronningen, aftenstemning i strandkanten med pram full av vann og  dampbåt på vannet. Bebyggelse i bakgrunnen.",http://oslobilder.no/NF/NF.05271-143
NF_NF.05271-140.jpg,Norsk Folkemuseum,"Bygdøy, Oslo 1908. Spaserende, to kvinner og en mann på vei i skogen.",http://oslobilder.no/NF/NF.05271-140
OMU_OB.Y1399.jpg,Oslo Museum,Niels Juels gate fra Briskebyveien.,http://oslobilder.no/OMU/OB.Y1399
OMU_OB.Z06397.jpg,Oslo Museum,Lakkegata.,http://oslobilder.no/OMU/OB.Z06397
NF_NF.25781-120.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-120
NF_NF.25781-118.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-118
NF_NF.25781-121.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-121
NF_NF.25781-122.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-122
NF_NF.25781-116.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-116
NF_NF.25781-112.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-112
NF_NF.25781-111.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-111
NF_NF.25781-115.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-115
NF_NF.25781-109.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-109
OMU_OB.Z02743.jpg,Oslo Museum,Christiania - Olaf Ryes plads,http://oslobilder.no/OMU/OB.Z02743
NF_NF.25781-110.jpg,Norsk Folkemuseum,Holmenkollrennet.,http://oslobilder.no/NF/NF.25781-110
OMU_OB.F15908.jpg,Oslo Museum,Klasse ved Ragna Nielsens skole.,http://oslobilder.no/OMU/OB.F15908
